Object_Id	Text_Value
1343163	"<p><!--StartFragment--><span style=""color: #24292f; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-style=""color: #24292f; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">The purchasing process is the steps a business goes through to complete a transaction. Businesses typically go through a formal process when purchasing something, unlike consumers. Purchases for a business can require research, input from different departments, negotiations and invoicing. Professionals may closely associate the purchasing process with the procurement process. However, the procurement process focuses more on strategies, such as negotiations and researching. The purchasing process focuses on the actual act of buying products and services.</span><!--EndFragment--></p>"
1343152	"<p style=""line-height: 2;"" data-mce-style=""line-height: 2;"">Customers are important because they drive revenues; without them, businesses cannot continue to exist. All businesses compete with other companies to attract customers, either by aggressively advertising their products, by lowering prices to expand their customer bases, or by developing unique products and experiences that customers love.</p><p style=""line-height: 2;"" data-mce-style=""line-height: 2;""><!--StartFragment--></p><p style=""line-height: 2;"" data-mce-style=""line-height: 2;"">Customer metrics are measurable data points that provide insights into how customers are interacting with a company's products, services, or brand. These metrics are used to evaluate the performance of a business in terms of customer acquisition, retention, satisfaction, and loyalty. Customer metrics can be quantitative or qualitative and can include both behavioral and attitudinal measurements.</p><p style=""line-height: 2;"" data-mce-style=""line-height: 2;"">Examples of customer metrics include:</p><ol><li><p>Customer acquisition cost (CAC): the cost of acquiring a new customer.</p></li><li><p>Customer lifetime value (CLV): the total value a customer brings to a business over the course of their relationship.</p></li><li><p>Net Promoter Score (NPS): a measure of customer loyalty and satisfaction based on the likelihood of a customer recommending a company to others.</p></li><li><p>Churn rate: the rate at which customers stop using a product or service.</p></li><li><p>Customer satisfaction score (CSAT): a measure of how satisfied customers are with a product or service.</p></li><li><p>Customer retention rate: the percentage of customers who continue to use a product or service over a given period.</p></li><li><p>Average order value (AOV): the average amount spent by customers in a single purchase.</p></li><li><p>Customer engagement: the level of involvement and interaction a customer has with a company's products, services, or brand.</p></li></ol><!--EndFragment--><p style=""line-height: 2;"" data-mce-style=""line-height: 2;""></p>"
1343179	"<p><em>The company goal:</em>&nbsp;<strong>increase year-over-year sales by 10%. </strong></p><p><em>Why it’s important:</em> <a class=""rich-text-object-tag"" href=""/data-governance/space/22/-/app/118/-/object/1343180/-"" data-objectid=""1343180"" data-mce-href=""/data-governance/space/22/-/app/118/-/object/1343180/-"">Net Sales</a>&nbsp;is the lifeblood of our company. To ensure profitability and the potential for continued growth, a sales goal based on the number of sold products is vital in our scheme of sales objectives we are trying to create.</p><p><!--StartFragment--></p><!--EndFragment--><p><br></p>"
1343180	"<p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;"">This financial metric provides valuable insights into a company's overall performance, reflecting the effectiveness of its sales strategies and marketing efforts. By analyzing net sales, businesses can identify trends, pinpoint areas for improvement, and make informed decisions to optimize their sales processes and drive growth. Comparing net sales over different periods can also help track the company's progress and assess the impact of specific initiatives or market changes.</p><p style=""line-height: 1.6;"" data-mce-style=""line-height: 1.6;""><br data-mce-bogus=""1""></p>"
1343166	<p>Adventure Works Cycles sells products in four major product categories: bikes, components, clothing, and accessories</p>
1343168	"<p>Price per unit metrics allow marketers to ""calculate meaningful average selling prices within a product line that includes items of different sizes.""</p><p>Many brands or product lines include multiple models, versions, flavors, colors, sizes, or — more generally – stock-keeping units (SKUs). Brita water filters, for example, are sold in a number of SKUs. They are sold in single-filter packs, double-filter packs, and special banded packs that may be restricted to club stores. They are sold on a standalone basis and in combination with pitchers. These various packages and product forms may be known as SKUs, models, items, and so on. </p><p>The information gleaned from a price per statistical unit can be helpful in considering price movements within a market. Price per statistical unit, in combination with unit price averages, provides insight into the degree to which the average prices in a market are changing as a result of shifts in 'mix' – proportions of sales generated by differently priced SKUs – versus price changes for individual items. Alterations in mix – such as a relative increase in the sale of larger versus smaller ice cream tubs at retail grocers, for example – will affect average unit price, but not price per statistical unit. Pricing changes in the SKUs that make up a statistical unit, however, will be reflected by a change in the price of that statistical unit.</p>"
1343161	<h3>The Difference Between Profit and Cash Flows</h3><p>The resulting profit may not match the amount of cash flows generated during the same reporting period; this is because some of the accounting transactions required under the accrual basis of accounting do not match cash flows, such as the recordation of depreciation and amortization.</p><h3>Accounting for Profits</h3><p>Profit is only accumulated in the accounting records for the current year. After that, the amount of profit reported is shifted into retained earnings, which appears in a company's balance sheet. These retained earnings may be kept within the business to support further growth, or may be distributed to owners in the form of dividends. Retained earnings may also be used to buy back shares.</p>
1343158	<h3>Key Takeaways</h3><ul><li> An employee is a worker that performs specific tasks for a business in exchange for regular pay. </li><li>Employees negotiate a salary with their employer and typically receive benefits, including overtime pay and vacation. </li><li>Employees differ from independent contractors in that employers take on the financial risk of the venture in exchange for more control over the employee's work.</li></ul>
1343160	"<p><!--StartFragment--><span style=""color: #24292f; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-style=""color: #24292f; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Sometimes interchangeable with the term applicant there is a distinguishing difference.<span>&nbsp;</span></span><span style=""color: #24292f; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-style=""color: #24292f; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Applicant is a job seeker who has applied for a job opening, either by sending a resume or by completing an application. Candidate is the applicant that has been screened and is minimally qualified for the job opening. Candidates are individuals an employer will contact after the application period and conduct some kind of an interview.</span><!--EndFragment--></p>"
1343162	<p>A purchase involves the acquisition of goods or services in exchange for a payment of some kind. The payment is usually in cash or credit (to be paid later). A purchase may also be part of a barter transaction where different non-cash assets are exchanged, or it may be in exchange for the assumption of a liability. Purchasing is a crucial part of the manufacturing process, where raw materials must be acquired and converted into finished goods.</p><h4>Example of a Purchase</h4><p>Shoes Unlimited places an order with a foreign supplier to sell it 10,000 pairs of sneakers. This involves the issuance of a purchase order, which is a legal commitment by the company to acquire the indicated type and quantity of shoes. Once the shoes are delivered, the accounting department wires funds to the supplier in compensation for the delivered goods. This is an example of a purchase.</p>
1343203	<p>Place, we would like to describe all our processes.</p>
1343204	<p><!--StartFragment--></p><p>The Documentation refers to 5 steps used in sales when sales order enters.&nbsp;</p><!--EndFragment--><p><br></p>
1343207	
1343208	<p>Not all customers are alike. Each customer has their own likes and dislikes. We can define a set of customers based on the characteristics that they share. Mostly customers share seven characteristics in common which are listed below:</p>
1343209	<p>Customers play an important role in the success of any business. In order to understand the customer preferences, their behavior and attitude it is important to identify and segment different types of customers. By analyzing the different customers, you can better devise your strategies that would yield much better results.</p>
1343210	<p>See most relevant articles and guidelines prepared by the HR department.</p>
1343211	<p>This article is describing what doe's it mean to have one or more employees in the company.</p>
1343212	<p>Main differences between Employee and Contractor explained in deep.</p>
1343213	<p>Please read the following before contacting HR department. Thank you.</p>
1343215	"<p><!--StartFragment--><span style=""color: #24292f; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-style=""color: #24292f; font-family: Inter, sans-serif; font-size: medium; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Below are the steps of a typical purchasing process.</span><!--EndFragment--></p>"
1343216	<p>This documentation section was created to document all the complex processes, tasks and routines involved in the Sales pipeline.</p>
1343204	"<p><!--StartFragment--></p><h2 data-mce-style=""color: #24292f; font-family: Inter, sans-serif; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;"" style=""color: rgb(36, 41, 47); font-family: Inter, sans-serif; font-style: normal; font-variant-ligatures: no-common-ligatures; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; background-color: rgb(255, 255, 255);""><a class=""jss7926"" data-mce-style=""color: inherit; text-decoration: underline; cursor: pointer;"" style=""text-decoration: underline; color: inherit; cursor: pointer;"">Sales Order</a><span>&nbsp;</span>Entry Process</h2><p>The entire&nbsp;<a>sales order</a>&nbsp;entry process involves various&nbsp;<a>departments</a>, right from sales and&nbsp;<a>customer</a>&nbsp;support, to warehouses and logistics partners.</p><p>The exact steps and technologies used in sales and&nbsp;<a>purchase order</a>&nbsp;processing can vary, but in general, the&nbsp;<a>sales order</a>&nbsp;entry process follows certain common steps.</p><p>Step 1:&nbsp;A&nbsp;<a>customer</a>&nbsp;places an order for a&nbsp;<a>product</a>. This order can be placed online, in&nbsp;<a>person</a>, or through the phone. The&nbsp;<a>document</a>&nbsp;generated is known as a&nbsp;<a>purchase order</a>.</p><p>Step 2:&nbsp;Details of the order and the&nbsp;<a>customer</a>&nbsp;are&nbsp;<a>stored</a>&nbsp;on the database. The&nbsp;<a>customer</a>&nbsp;order is then sent to the warehouse where warehouse managers check if the required&nbsp;<a>products</a>&nbsp;are in stock. A&nbsp;<a>sales order</a>&nbsp;is raised when the company can confirm that they are able to fulfill the order amount with the inventory.</p><p>Step 3: If the inventory of that particular stock is low or is unavailable, an order is placed to the supplier.</p><p>Step 4:&nbsp;The&nbsp;<a>purchase order</a>&nbsp;is passed on to the accounts team who tags it under accounts receivable or cash sale. An invoice of sale is raised based on the quantity of the order and sent to the&nbsp;<a>customer</a>.</p><p>Step 5:&nbsp;A logistics partner will transport the&nbsp;<a>product</a>&nbsp;to the delivery destination and a delivery partner will make the final delivery to the&nbsp;<a>customer’s</a>&nbsp;<a>address</a>.</p><!--EndFragment--><p><br></p>"
1343208	<h4>1.Customers are well informed</h4><p>Today consumers share and receive information at a much faster pace because of the advancements in technology and communication. They are very well informed about the company, their products, the industry types, the rivals and events. A company should know that the customers study A-Z about a company before making a purchase. Hence you should meet up with their expectations and create a great customer experience through your offerings.</p><h4>2.Customers look for solutions</h4><p>Today when a customer encounters a small problem, they might end up calling the customer service to get their problem solved. The best customer service should find ways to fix the issues that the customer faces. If you are missing out on quality customer service, you will probably end up losing the customers.</p><h4>3.Customers are social beings</h4><p>Customers are social creatures and technology has enabled them to connect more, share more and experience better. Many digital communities are up there to share your views about a particular topic or a product or even an issue. Many customers share their opinions, discuss the possible outcomes and come up with solutions. It is true that almost half the percentage of customers trust an online recommendation more than a brand’s messaging. Hence it is very important for companies to invest in an omni channel environment where they can build engagement with their customers and share their content on a daily basis.</p><h4>4.Customers stay connected</h4><p>Customers usually stay connected across multiple channels using multiple devices. You can differentiate the usage and connectivity based on millennials, gen X, gen Y and gen Z. The trends in the social media channels keep changing at a faster pace. Companies need to adapt to these changes and trends , which will help them to be connected with their customers. If you want to reach your customers, you need to curate your content across different channels and platforms.</p><h4>5.Customers are opinionated</h4><p>Customers share and receive feedback from others who have already interacted with a brand. These feedbacks might be positive or negative based on the customer experiences. There are many reviews shared each and every time related to a particular product or service. Businesses are conducting surveys and questionnaires in order to hear the opinions from customers to curate their experiences in a better way.</p>
